0	26848	14569472	92403851264	8192
1	89316	158621696	92259647488	12288
2	142564	224165888	92194140160	12288
4	142564	295346176	92122931200	12288
5	142564	380600320	92037746688	12288
6	142564	451993600	91966222336	12288
7	20908	893489152	91523346432	12288
8	10732	979812352	91438628864	12288
9	60692	1057456128	91360829440	12288
10	136468	1136476160	91281862656	12288
11	10720	1297420288	91117772800	12288
12	29004	1333776384	91084664832	16384
13	30024	1341894656	91076513792	16384
14	57156	1367298048	91050713088	16384
15	103860	1503731712	90901983232	20480
