0	260492	1525252096	90892828672	24576
1	497192	1531019264	90887356416	28672
2	692636	1543983104	90874114048	28672
3	600240	1553383424	90864975872	28672
5	277480	1593647104	90824568832	28672
6	573340	1594191872	90824183808	28672
7	402652	1617575936	90800746496	28672
8	392940	1627041792	90791333888	28672
9	520556	1627910144	90790436864	28672
10	357796	1636204544	90781024256	28672
11	497248	1639477248	90778570752	28672
12	435608	1641500672	90776793088	28672
13	277848	1646579712	90771795968	28672
14	203876	1647566848	90770808832	28672
16	346052	1648562176	90769326080	28672
