fase	segundo_monitor	rss_grupo_kib	disco_bytes	libres_bytes	evidencia_bytes
aprovisionamiento	1	27740	29233152	92386668544	8192
aprovisionamiento	2	91340	161603584	92256514048	12288
aprovisionamiento	3	142540	223543296	92194828288	12288
aprovisionamiento	4	142540	290902016	92127436800	12288
aprovisionamiento	5	142540	373362688	92045049856	12288
aprovisionamiento	6	142540	442634240	91975733248	12288
aprovisionamiento	7	10628	884875264	91533619200	12288
aprovisionamiento	8	10700	978800640	91439693824	12288
aprovisionamiento	9	46328	1043460096	91374833664	12288
aprovisionamiento	10	120056	1118248960	91299950592	12288
aprovisionamiento	11	10688	1258106880	91160371200	12288
aprovisionamiento	12	20136	1333063680	91085418496	12288
aprovisionamiento	13	20504	1344065536	91074433024	12288
aprovisionamiento	14	6668	1355456512	91062898688	12288
aprovisionamiento	15	79104	1422684160	90995515392	12288
aprovisionamiento	16	10720	1540038656	90878455808	12288
aprovisionamiento	17	28872	1555349504	90863017984	16384
aprovisionamiento	18	54928	1578516480	90839310336	16384
aprovisionamiento	19	115412	1674547200	90740277248	20480
aprovisionamiento	20	20132	1746579456	90671923200	20480
aprovisionamiento	21	20132	1746571264	90671919104	20480
aprovisionamiento	22	20132	1746571264	90671919104	20480
aprovisionamiento	23	21148	1762275328	90656149504	20480
aprovisionamiento	24	21148	1787895808	90630594560	20480
aprovisionamiento	26	21148	1801232384	90616926208	20480
aprovisionamiento	27	21148	1855258624	90562793472	20480
aprovisionamiento	28	21148	1952411648	90466066432	20480
aprovisionamiento	29	21520	1988431872	90430029824	20480
aprovisionamiento	30	21520	2001031168	90417459200	20480
aprovisionamiento	31	21520	2007044096	90411446272	20480
aprovisionamiento	32	21520	2014822400	90403667968	20480
aprovisionamiento	33	21520	2030149632	90388271104	20480
aprovisionamiento	34	21520	2054049792	90364440576	20480
aprovisionamiento	35	21520	2073292800	90345066496	20480
aprovisionamiento	36	21520	2114465792	90303897600	20480
aprovisionamiento	37	6628	2142691328	90275799040	20480
dependencias-06	1	3544	2154950656	90263457792	860160
compilacion	0	51804	2156597248	90259988480	2027520
compilacion	1	411560	2170220544	90247114752	2031616
compilacion	2	670692	2170245120	90247114752	2031616
compilacion	3	854608	2184638464	90231713792	2031616
compilacion	4	437344	2204872704	90212405248	2031616
compilacion	5	527708	2213109760	90204319744	2031616
compilacion	6	611624	2216239104	90201120768	2031616
compilacion	8	329144	2253258752	90163597312	2031616
compilacion	9	375768	2265546752	90151395328	2031616
compilacion	10	495940	2268950528	90147028992	2031616
compilacion	11	449668	2282119168	90135261184	2031616
compilacion	12	530628	2291642368	90125766656	2031616
compilacion	13	516160	2299932672	90116382720	2031616
